rank,symbol,name,weight
1,NVDA,NVIDIA CORP,8.348315
2,AAPL,APPLE INC,7.007801
3,MSFT,MICROSOFT CORP,4.870486
4,AMZN,AMAZON.COM INC,4.104394
5,GOOGL,ALPHABET INC CL A,3.532228
6,AVGO,BROADCOM INC,3.076209
7,GOOG,ALPHABET INC CL C,2.80665
8,META,META PLATFORMS INC CLASS A,2.078992
9,TSLA,TESLA INC,1.839095
10,BRK.B,BERKSHIRE HATHAWAY INC CL B,1.377355
11,MU,MICRON TECHNOLOGY INC,1.342254
12,LLY,ELI LILLY + CO,1.291691
13,JPM,JPMORGAN CHASE + CO,1.278438
14,AMD,ADVANCED MICRO DEVICES,1.147473
15,XOM,EXXON MOBIL CORP,1.015505
16,JNJ,JOHNSON + JOHNSON,0.873841
17,INTC,INTEL CORP,0.871163
18,V,VISA INC CLASS A SHARES,0.871019
19,WMT,WALMART INC,0.832319
20,CSCO,CISCO SYSTEMS INC,0.730703
21,COST,COSTCO WHOLESALE CORP,0.729853
22,MA,MASTERCARD INC   A,0.636638
23,CAT,CATERPILLAR INC,0.630426
24,ABBV,ABBVIE INC,0.593143
25,LRCX,LAM RESEARCH CORP,0.590728
26,NFLX,NETFLIX INC,0.589917
27,CVX,CHEVRON CORP,0.560205
28,UNH,UNITEDHEALTH GROUP INC,0.542251
29,BAC,BANK OF AMERICA CORP,0.534554
30,AMAT,APPLIED MATERIALS INC,0.530919
31,PG,PROCTER + GAMBLE CO/THE,0.521633
32,ORCL,ORACLE CORP,0.503844
33,GE,GENERAL ELECTRIC,0.495366
34,KO,COCA COLA CO/THE,0.491843
35,PLTR,PALANTIR TECHNOLOGIES INC A,0.491338
36,HD,HOME DEPOT INC,0.48893
37,GS,GOLDMAN SACHS GROUP INC,0.463802
38,PM,PHILIP MORRIS INTERNATIONAL,0.459141
39,MRK,MERCK + CO. INC.,0.449958
40,GEV,GE VERNOVA INC,0.44033
41,TXN,TEXAS INSTRUMENTS INC,0.423745
42,KLAC,KLA CORP,0.377822
43,MS,MORGAN STANLEY,0.377493
44,LIN,LINDE PLC,0.376008
45,IBM,INTL BUSINESS MACHINES CORP,0.370072
46,RTX,RTX CORP,0.368175
47,WFC,WELLS FARGO + CO,0.36745
48,QCOM,QUALCOMM INC,0.356254
49,SNDK,SANDISK CORP,0.356189
50,C,CITIGROUP INC,0.34242
51,PANW,PALO ALTO NETWORKS INC,0.320005
52,VZ,VERIZON COMMUNICATIONS INC,0.318547
53,PEP,PEPSICO INC,0.318348
54,MCD,MCDONALD S CORP,0.316713
55,ADI,ANALOG DEVICES INC,0.293729
56,NEE,NEXTERA ENERGY INC,0.292296
57,DIS,WALT DISNEY CO/THE,0.287124
58,AMGN,AMGEN INC,0.284316
59,T,AT+T INC,0.277599
60,STX,SEAGATE TECHNOLOGY HOLDINGS,0.276523
61,TJX,TJX COMPANIES INC,0.273605
62,BA,BOEING CO/THE,0.270228
63,TMO,THERMO FISHER SCIENTIFIC INC,0.264184
64,AXP,AMERICAN EXPRESS CO,0.259522
65,CRM,SALESFORCE INC,0.258513
66,WDC,WESTERN DIGITAL CORP,0.257964
67,CRWD,CROWDSTRIKE HOLDINGS INC   A,0.256153
68,GILD,GILEAD SCIENCES INC,0.25335
69,UNP,UNION PACIFIC CORP,0.246328
70,ISRG,INTUITIVE SURGICAL INC,0.244452
71,APH,AMPHENOL CORP CL A,0.240306
72,BLK,BLACKROCK INC,0.240147
73,ANET,ARISTA NETWORKS INC,0.240055
74,ABT,ABBOTT LABORATORIES,0.238823
75,UBER,UBER TECHNOLOGIES INC,0.23704
76,SCHW,SCHWAB (CHARLES) CORP,0.236165
77,WELL,WELLTOWER INC,0.235997
78,GLW,CORNING INC,0.23425
79,ETN,EATON CORP PLC,0.231739
80,COP,CONOCOPHILLIPS,0.231088
81,PFE,PFIZER INC,0.230735
82,HON,HONEYWELL INTERNATIONAL INC,0.2223
83,PLD,PROLOGIS INC,0.210319
84,DE,DEERE + CO,0.209916
85,APP,APPLOVIN CORP CLASS A,0.206365
86,BKNG,BOOKING HOLDINGS INC,0.201654
87,SPGI,S+P GLOBAL INC,0.199019
88,VRT,VERTIV HOLDINGS CO A,0.193712
89,MO,ALTRIA GROUP INC,0.193464
90,LOW,LOWE S COS INC,0.19114
91,BMY,BRISTOL MYERS SQUIBB CO,0.190012
92,CB,CHUBB LTD,0.187923
93,CVS,CVS HEALTH CORP,0.185808
94,SBUX,STARBUCKS CORP,0.185554
95,NEM,NEWMONT CORP,0.185302
96,PGR,PROGRESSIVE CORP,0.18286
97,COF,CAPITAL ONE FINANCIAL CORP,0.18252
98,VRTX,VERTEX PHARMACEUTICALS INC,0.172154
99,ACN,ACCENTURE PLC CL A,0.171216
100,DHR,DANAHER CORP,0.170815
