strategy,selector,max_hold_days,min_hold_days,decision_days,active_days,entry_events,exit_events,total_turnover,avg_daily_turnover,final_equity,spy_final_equity,total_return,spy_total_return,alpha_return,max_drawdown,sharpe,spy_sharpe,avg_closed_hold_days,open_positions_end,family,trades
confirmed_hold_5d,confirmed,5.0,1.0,2173,2172,1359.0,1356.0,306.0,0.140819144040497,385216.58804382564,140541.96173188856,6.704331760876513,1.810839234637771,4.893492526238742,-0.3347985505176645,1.11535207906529,0.7743658373704698,4.79646017699115,3.0,holding,
confirmed_hold_10d,confirmed,10.0,1.0,2173,2172,710.0,707.0,234.99999999999997,0.10814542107685227,341921.3932219935,140541.96173188856,5.83842786443987,1.810839234637771,4.027588629802099,-0.3222536619334039,1.0664387918449283,0.7743658373704698,9.188118811881187,3.0,holding,
confirmed_signal_exit_max10,confirmed,10.0,2.0,2173,2172,750.0,747.0,246.66666666666666,0.11351434269059671,319792.43901706155,140541.96173188856,5.395848780341231,1.810839234637771,3.5850095457034596,-0.3434576874038009,1.0284076879875854,0.7743658373704698,8.694779116465863,3.0,holding,
confirmed_hold_3d,confirmed,3.0,1.0,2173,2172,2213.0,2210.0,355.0,0.16336861481822365,312071.172319014,140541.96173188856,5.24142344638028,1.810839234637771,3.4305842117425085,-0.40813851972350024,1.0061554186863733,0.7743658373704698,2.9429864253393667,3.0,holding,
confirmed_hold_2d,confirmed,2.0,1.0,2173,2172,3284.0,3281.0,409.33333333333326,0.18837244976223344,255993.3347652852,140541.96173188856,4.119866695305704,1.810839234637771,2.3090274606679326,-0.3738528177226632,0.9173263765636516,0.7743658373704698,1.9817128924108502,3.0,holding,
confirmed_rebalance_daily,confirmed,1.0,1.0,2173,2172,6507.0,6504.0,467.33333333333326,0.21506366007056293,232194.45831400363,140541.96173188856,3.643889166280072,1.810839234637771,1.833049931642301,-0.4339853999067995,0.8618612842421846,0.7743658373704698,1.0,3.0,holding,
spy_fused_hold_5d,algo_fused_spy_gated,5.0,1.0,2173,1251,767.0,764.0,213.33333333333331,0.09817456665132689,142561.6956694378,140541.96173188856,1.8512339133887559,1.810839234637771,0.04039467875098479,-0.30559747574004403,0.7825553173695404,0.7743658373704698,4.849476439790576,3.0,holding,
spy_fused_hold_3d,algo_fused_spy_gated,3.0,1.0,2173,1214,1229.0,1226.0,232.33333333333334,0.1069182389937107,113840.1509933177,140541.96173188856,1.276803019866354,1.810839234637771,-0.534036214771417,-0.27765206583764634,0.6360465101227829,0.7743658373704698,2.9543230016313213,3.0,holding,
spy_fused_rank_exit_max10,algo_fused_spy_gated,10.0,2.0,2173,1171,521.0,518.0,230.33333333333331,0.1059978524313545,112000.31708604762,140541.96173188856,1.2400063417209526,1.810839234637771,-0.5708328929168185,-0.30096359620713997,0.6394494289366683,0.7743658373704698,6.723938223938224,3.0,holding,
spy_fused_rebalance_daily,algo_fused_spy_gated,1.0,1.0,2173,1143,3429.0,3426.0,281.0,0.12931431201104465,108611.30883584538,140541.96173188856,1.1722261767169075,1.810839234637771,-0.6386130579208635,-0.29044112686233003,0.6183243745481692,0.7743658373704698,1.0,3.0,holding,
defensive_trend_hold_5d,defensive_trend,5.0,1.0,2173,2172,1367.0,1364.0,734.3333333333333,0.33793526614511427,81638.28999558889,140541.96173188856,0.6327657999117777,1.810839234637771,-1.1780734347259934,-0.4123840541583287,0.357602520698333,0.7743658373704698,4.768328445747801,3.0,holding,
relative_momentum_hold_3d,relative_momentum,3.0,1.0,2173,2172,2236.0,2233.0,1100.3333333333333,0.506366007056297,78838.01010188296,140541.96173188856,0.5767602020376592,1.810839234637771,-1.2340790326001119,-0.6158785068840168,0.32965814659427434,0.7743658373704698,2.915360501567398,3.0,holding,
relative_momentum_exit_max10,relative_momentum_spy_gated,10.0,2.0,2173,1170,597.0,594.0,400.3333333333333,0.18423071023163062,76786.0254982241,140541.96173188856,0.535720509964482,1.810839234637771,-1.2751187246732891,-0.36371083714746466,0.3586219690552476,0.7743658373704698,5.848484848484849,3.0,holding,
trend_quality_avoid_failed_gap_volume_shape_hold_3d,trend_quality_avoid_failed_gap_volume_shape,3.0,1.0,2173,2172,2223.0,2220.0,1141.6666666666667,0.5253873293449915,72971.74502466903,140541.96173188856,0.45943490049338065,1.810839234637771,-1.3514043341443904,-0.42096858431918127,0.30058514475003645,0.7743658373704698,2.9324324324324325,3.0,holding,
