strategy,selector,max_hold_days,min_hold_days,decision_days,active_days,entry_events,exit_events,total_turnover,avg_daily_turnover,final_equity,spy_final_equity,total_return,spy_total_return,alpha_return,max_drawdown,sharpe,spy_sharpe,avg_closed_hold_days,open_positions_end,quarter,train_end,eval_start,eval_end,family,trades
confirmed_rebalance_daily,confirmed,1.0,1.0,61,61,183.0,180.0,12.33333333333333,0.20218579234972672,50627.6173581816,49383.296356183935,0.01255234716363196,-0.012334072876321267,0.024886420039953228,-0.12343744054732297,0.32615458181848167,-0.14413362845793537,1.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_hold_2d,confirmed,2.0,1.0,61,61,93.0,90.0,10.999999999999998,0.180327868852459,50961.355241404985,49383.296356183935,0.01922710482809964,-0.012334072876321267,0.031561177704420906,-0.12206971257294441,0.43382237193858675,-0.14413362845793537,2.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_hold_3d,confirmed,3.0,1.0,61,61,63.0,60.0,8.333333333333332,0.13661202185792348,51255.218281683454,49383.296356183935,0.025104365633669135,-0.012334072876321267,0.0374384385099904,-0.11691647671781791,0.5132429556774791,-0.14413362845793537,3.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_hold_5d,confirmed,5.0,1.0,61,61,39.0,36.0,6.333333333333333,0.10382513661202185,51963.18128904814,49383.296356183935,0.03926362578096265,-0.012334072876321267,0.05159769865728392,-0.09984252087482326,0.73894207596554,-0.14413362845793537,5.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_hold_10d,confirmed,10.0,1.0,61,61,21.0,18.0,5.666666666666667,0.09289617486338798,49076.43079720794,49383.296356183935,-0.018471384055841145,-0.012334072876321267,-0.006137311179519878,-0.11289554079312836,-0.16782890441492823,-0.14413362845793537,10.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_signal_exit_max10,confirmed,10.0,2.0,61,61,22.0,19.0,5.666666666666667,0.09289617486338798,50497.32676630753,49383.296356183935,0.00994653532615053,-0.012334072876321267,0.022280608202471797,-0.11026899987154715,0.2880040429144437,-0.14413362845793537,8.947368421052632,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_market_exposure_hold_5d,confirmed,5.0,1.0,61,61,39.0,36.0,11.066666666666665,0.18142076502732238,49275.37025684204,49383.296356183935,-0.014492594863159125,-0.012334072876321267,-0.002158521986837858,-0.09810185780743641,-0.2614825104887443,-0.14413362845793537,5.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_market_exposure_hold_10d,confirmed,10.0,1.0,61,61,21.0,18.0,11.433333333333332,0.187431693989071,46914.32618619025,49383.296356183935,-0.061713476276194945,-0.012334072876321267,-0.04937940339987368,-0.11451908472536065,-1.4393215004025355,-0.14413362845793537,10.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_rel_rank_hold_5d,confirmed_rel_rank,5.0,1.0,61,61,39.0,36.0,10.999999999999998,0.180327868852459,53801.93357850728,49383.296356183935,0.07603867157014577,-0.012334072876321267,0.08837274444646703,-0.12201965401589054,1.2578918351676116,-0.14413362845793537,5.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_rel_rank_market_hold_5d,confirmed_rel_rank,5.0,1.0,61,61,39.0,36.0,15.266666666666664,0.2502732240437158,52390.38931645582,49383.296356183935,0.04780778632911642,-0.012334072876321267,0.06014185920543769,-0.11108112201425602,1.0087467485054329,-0.14413362845793537,5.0,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_relative_guard_hold_5d,confirmed_relative_guard,5.0,1.0,61,61,40.0,37.0,23.93333333333333,0.39234972677595625,49417.34653211165,49383.296356183935,-0.011653069357766999,-0.012334072876321267,0.0006810035185542684,-0.10430340112957304,-0.10557000587936365,-0.14413362845793537,4.54054054054054,3.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_relative_guard_exit_max10,confirmed_relative_guard,10.0,2.0,61,61,47.0,46.0,30.233333333333327,0.49562841530054635,48287.26123429953,49383.296356183935,-0.034254775314009445,-0.012334072876321267,-0.021920702437688178,-0.12954666183818964,-0.5248547585445842,-0.14413362845793537,3.6956521739130435,1.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
confirmed_strong_relative_guard_hold_5d,confirmed_strong_relative_guard,5.0,1.0,61,61,39.0,37.0,24.23333333333333,0.3972677595628415,49224.24822036353,49383.296356183935,-0.015515035592729376,-0.012334072876321267,-0.003180962716408109,-0.10792987047501323,-0.17934333800698987,-0.14413362845793537,4.594594594594595,2.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
spy_fused_rebalance_daily,algo_fused_spy_gated,1.0,1.0,61,35,105.0,105.0,15.333333333333332,0.25136612021857924,46432.14082145912,49383.296356183935,-0.07135718357081755,-0.012334072876321267,-0.059023110694496284,-0.11702207865384406,-1.9020120418350632,-0.14413362845793537,1.0,0.0,2018Q1,2017-12-31,2018-01-01,2018-03-31,holding,
