family,strategy,avg_alpha,avg_return,worst_alpha,beat_spy,folds
holding,confirmed_hold_10d,0.02944463297367558,0.06358407910104337,-0.14394454789135258,20,34
holding,confirmed_hold_3d,0.026837763811915695,0.060977209939283496,-0.19931963493060856,19,34
holding,confirmed_signal_exit_max10,0.026172540378388905,0.0603119865057567,-0.18347455627226927,21,34
holding,confirmed_hold_5d,0.024284151819157412,0.058423597946525206,-0.20857978734807048,19,34
holding,confirmed_hold_2d,0.023228801139900185,0.05736824726726798,-0.24126077551064462,19,34
holding,confirmed_rebalance_daily,0.018998338518638525,0.053137784646006325,-0.22805230765704554,19,34
holding,spy_fused_hold_5d,-0.003380615819427276,0.030758830307940518,-0.21323622873960968,16,34
holding,spy_fused_rank_exit_max10,-0.003471889178124103,0.030667556949243693,-0.21323622873960968,18,34
holding,spy_fused_rebalance_daily,-0.006720899195694574,0.027418546931673223,-0.20387627985647283,16,34
holding,spy_fused_hold_3d,-0.008930314418011013,0.025209131709356784,-0.19916014332833565,15,34
holding,trend_quality_hold_5d,-0.009338860255193492,0.024800585872174305,-0.12900849159419525,14,34
holding,hybrid_markov_trend_hold_3d,-0.02024338316965563,0.013896062957712167,-0.19790999025043576,14,34
holding,relative_momentum_hold_5d,-0.021971017030904837,0.012168429096462962,-0.2210358500425923,13,34
holding,trend_quality_avoid_failed_gap_hold_3d,-0.02304210474050031,0.011097341386867484,-0.1965445646436791,13,34
holding,relative_momentum_exit_max10,-0.0246373510848081,0.0095020950425597,-0.2885312882409663,15,34
holding,defensive_trend_hold_5d,-0.02505338438605001,0.00908606174131779,-0.21055006080213534,12,34
holding,trend_quality_avoid_failed_gap_volume_shape_hold_3d,-0.025277316357620917,0.00886212976974688,-0.22304658849147752,11,34
markov_daily,markov_daily_manual,-0.0269157001017942,0.0072237460255736,-0.2603948597945155,13,34
holding,relative_momentum_hold_3d,-0.027536586822203193,0.006602859305164606,-0.38015256469712766,16,34
holding,trend_quality_hold_3d,-0.02781564526750993,0.006323800859857868,-0.276727604185815,12,34
markov_daily,markov_daily_confirmed,-0.02785070386802542,0.006288742259342378,-0.2825243166272271,12,34
holding,trend_quality_volume_shape_hold_3d,-0.028822363513977208,0.005317082613390589,-0.26135160573528227,14,34
holding,hybrid_markov_trend_hold_5d,-0.028848583195363722,0.005290862932004076,-0.23218448590563967,11,34
holding,breakout_quality_hold_3d,-0.030812794901834233,0.0033266512255335666,-0.23389293116675125,11,34
markov_daily,markov_daily_spy_gated,-0.03197417435495002,0.002165271772417775,-0.22033377890983785,14,34
markov_daily,markov_daily_confirmed_spy_gated,-0.03232845619604621,0.0018109899313215833,-0.22033377890983785,14,34
markov_daily,markov_daily_algo_fused_spy_gated,-0.03238549969520793,0.00175394643215986,-0.21868524228943498,14,34
holding,relative_momentum_volume_shape_exit_max10,-0.0359793366580672,-0.0018398905306994035,-0.2950590077701315,11,34
holding,hybrid_markov_trend_exit_max10,-0.03980835556367174,-0.005668909436303944,-0.28129594143060677,13,34
holding,trend_quality_gap_resistance_hold_3d,-0.13138484885227233,-0.09724540272490452,-0.3840793776132765,3,34
holding,gap_resistance_hold_3d,-0.13658894250242803,-0.10244949637506026,-0.40239535101128365,4,34
holding,gap_resistance_50_hold_3d,-0.13730392020813006,-0.10316447408076226,-0.33945990520679903,3,34
holding,gap_resistance_hold_1d,-0.22597727245550003,-0.19183782632813223,-0.5876032548797492,2,34
